地区名,センター,燃えるごみ,燃えないごみ,空びん,資源物
駅部田町土取第２,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町万庄第1,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町万庄第２,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町山の世古,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
曲町 ,旧松阪市,火 金,月,20150210 20150310 20150409 20150514 20150609 20150710 20150814 20150911,木3
町平尾町 ,旧松阪市,火 金,水,20150203 20150303 20150407 20150512 20150602 20150707 20150804 20150901,20150218 20150317 20150414 20150519 20150609 20150714 20150811 20150908
松尾地区全自治会(桜通・平成町含む） ,旧松阪市,火 金,水,20150210 20150317 20150414 20150508 20150605 20150703 20150807 20150904,20150227 20150327 20150424 20150522 20150626 20150731 20150828 20150925
松ヶ崎地区全自治会 ,旧松阪市,火 金,月,20150213 20150313 20150409 20150514 20150611 20150709 20150813 20150910,木3
丸の内 ,旧松阪市,火 金,水,20150220 20150320 20150428 20150529 20150626 20150730 20150828 20150925,20150224 20150324 20150428 20150526 20150623 20150728 20150825 20150929
湊町 ,旧松阪市,火 金,水,20150227 20150327 20150424 20150526 20150623 20150724 20150818 20150929,20150227 20150327 20150424 20150522 20150626 20150731 20150828 20150925
南町 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150225 20150318 20150422 20150523 20150624 20150722 20150826 20150930
南井村町,旧松阪市,火 金,水,20150213 20150313 20150409 20150514 20150611 20150709 20150813 20150910,20150227 20150327 20150424 20150522 20150626 20150731 20150828 20150925
南井村町の一部 ,旧松阪市,火 金,月,20150213 20150313 20150409 20150514 20150611 20150709 20150813 20150910,20150226 20150319 20150423 20150528 20150625 20150723 20150827 20150924
南徳和 ,旧松阪市,月 木,金,20150204 20150304 20150401 20150507 20150603 20150701 20150805 20150902,20150225 20150318 20150422 20150523 20150624 20150722 20150826 20150930
南虹が丘町 ,旧松阪市,火 金,水,20150203 20150303 20150407 20150512 20150602 20150707 20150804 20150901,20150213 20150313 20150410 20150508 20150612 20150710 20150814 20150904
宮町,旧松阪市,月 木,水,20150225 20150318 20150418 20150530 20150627 20150729 20150826 20150924,20150225 20150318 20150422 20150523 20150624 20150722 20150826 20150930
萌木町,旧松阪市,月 木,金,20150219 20150311 20150408 20150516 20150613 20150711 20150805 20150912,20150204 20150304 20150401 20150513 20150603 20150701 20150805 20150902
本居町,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
焼橋 ,旧松阪市,月 木,水,20150228 20150326 20150416 20150521 20150617 20150715 20150819 20150917,20150204 20150304 20150401 20150513 20150603 20150701 20150805 20150902
山下町 ,旧松阪市,月 木,金,20150225 20150318 20150418 20150530 20150627 20150729 20150826 20150924,20150218 20150311 20150408 20150520 20150610 20150708 20150812 20150909
山添町 ,旧松阪市,月 木,金,20150225 20150318 20150418 20150530 20150627 20150729 20150826 20150924,20150218 20150311 20150408 20150520 20150610 20150708 20150812 20150909
山室町,旧松阪市,月 木,水,20150228 20150326 20150416 20150521 20150617 20150715 20150819 20150917,金1
吉野町,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
吉野町の一部 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
猟師町 ,旧松阪市,火 金,水,20150203 20150303 20150407 20150512 20150602 20150707 20150804 20150901,20150218 20150317 20150414 20150519 20150609 20150714 20150811 20150908
レインボー田村 ,旧松阪市,月 木,水,20150228 20150326 20150422 20150527 20150624 20150722 20150822 20150916,金2
六呂木町 ,旧松阪市,月 木,水,20150228 20150326 20150422 20150527 20150624 20150722 20150822 20150916,20150225 20150318 20150422 20150523 20150624 20150722 20150826 20150930
若葉町 ,旧松阪市,火 金,水,20150206 20150306 20150402 20150501 20150604 20150702 20150806 20150903,20150206 20150306 20150403 20150501 20150605 20150703 20150807 20150911
和屋町 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150218 20150311 20150408 20150520 20150610 20150708 20150812 20150909
和屋団地,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150218 20150311 20150408 20150520 20150610 20150708 20150812 20150909
